message,input_type,label,scam_type
【重要通知】您的幣安帳號出現異常活動，請立即完成安全性驗證：https://binance-safety-check.net,Email,RED,Web3交易所釣魚
恭喜！您被選中參與去中心化基金會治理投票，點擊領取您的獎勵：https://dao-governance-reward.xyz,Chat,RED,假DAO治理詐騙
提醒：您的包裹因地址填寫錯誤退回，請點擊此處更新資訊以利重新配送：https://post-delivery-update.cc,SMS,RED,假物流釣魚
檢察官辦案通知，您的銀行帳戶已被凍結，請立即將資產轉入監管帳戶進行清查。,LINE,RED,假檢警詐騙
【投資快訊】跟著主力買進這檔 Web3 概念股，預計兩週翻倍，限時加入群組。,LINE,RED,假投資群組
您的帳戶餘額不足，請儘速儲值以避免服務中斷。,Email,YELLOW,疑似帳戶提醒
客服提醒您有一筆待領取的補償金，請回覆本訊息以獲取領取方式。,LINE,YELLOW,疑似假客服
您的訂單已排入出貨程序，預計將於 3-5 個工作天內抵達。,Email,GREEN,正常通知
這週末的球隊聚餐時間訂在晚上七點，地點在校門口對面的餐廳。,Chat,GREEN,正常聊天
請協助將這份文件的電子檔傳送給部門主管，謝謝。,Email,GREEN,正常工作通知
您預訂的圖書館座位將於兩小時後到期，請留意使用時間。,SMS,GREEN,正常通知
這份關於作業系統架構的共筆文件已更新完成，歡迎大家參考。,LINE,GREEN,正常學術討論
